"plu_balanza","nombre","precio_venta","codigo_barra_externo","mg"
"146","BANDEJA EMPANADAS QUESO 24UN","2990","0014600000","25"
"147","PROMOCION NIK 3X","1500","0014700000","25"
"148","PROMOCION TUAREG/DINDON 2X","1200","0014800000","25"
"149","PROMOCION MARINELA","1000","0014900000","25"
"150","EMPANADA QUESO UN.","170","0015000000","25"
"151","ESCOBILLA","650","0015100000","25"
"152","MALVA","150","0015200000","25"
"153","BOLSA REGALO BOTELLA","1050","0015300000","25"
"154","MAGO PADS VIRUTEX 1UN","350","0015400000","25"
"155","MINI HERSHEY","200","0015500000","25"
"156","CARTON PIEDRA (CH)","900","0015600000","25"
"157","CARTON PIEDRA PLIEGO","1500","0015700000","25"
"158","CEPILLO DENTAL","1000","0015800000","25"
"159","MINI KISS","150","0015900000","25"
"171","MANTECA MATIAS","2000","0017100000","25"
"196","SACO DE PAPA","14000","0019600000","25"
"247","ROLLS CRISPY BERRIES 120G","2500","0024700000","25"
"248","ROLLS BLANCO CROCANTE 140G","2500","0024800000","25"
"249","ROLLS CRISPY NARANJA 80G","1610","0024900000","25"
"250","ROCKLETS CHOCOLATE 100G","1700","0025000000","25"
"251","HEIDI INTENSE 80G","2990","0025100000","25"
"252","HEIDI CRANBERRY 80G","2650","0025200000","25"
"253","GOMITAS AMBROSOLI SANDIA 90G","1150","0025300000","25"
"254","BAMBINO EDICION ESPECIAL 80G","1750","0025400000","25"
"255","ALFAJOR PREMIUM CALAF 60G","560","0025500000","25"
"256","HOBBY ENERGY 55G","1050","0025600000","25"
"257","MARSH MALLOWS FRUNA 600G","2300","0025700000","25"
"258","CUCHUFLI RELLENO VIVANIA 5U","1200","0025800000","25"
"259","CUCHUFLI BA ADOS VIVANIA 5U","1200","0025900000","25"
"260","ROLLS NUTS 100G","1800","0026000000","25"
"261","ROLLS CRISPY 100G","1700","0026100000","25"
"262","ROLLS CROCANTE 100G","1800","0026200000","25"
"263","ROLLS CRISPY COCO 80G","1610","0026300000","25"
"264","SUPER 8 69G","400","0026400000","25"
"265","ORLY FRUTILLA 115G","1300","0026500000","25"
